COMMERCIAL INVOICE & PACKING LIST,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SHIPPER  寄件人（需要英文版信息）,,,客户名*,TEST-朴国哲,服务渠道*,,LDX--快速船便 Japan,,INVOICE NO:,,,WL-JPN12-260513-003,,,,,,,,,,,,,
公司名：,YIWU XIERUN IMPORT&EXPORT CO.LTD,,客户订单号*,WL-JPN12-260513-003,,,,,DATE OF EXPORTATION,,,2026-05-13,,,,,,,,,,,,,
人名：,Zhao ZheLong,,,,,,,,COUNTRY OF EXPORT,,,MADE IN CHINA,,,,,,,,,,,,,
联系电话：,186-6173-9360,,,,,,,,COUNTRY OF DESTINATION,,,Japan,,,,,,,,,,,,,
地址：,"502, Floor 5, Building 1, No. 633, Airport Road, Beiyuan Street, Yiwu City, Zhejiang Province",,,,,,,,TRADE TERM:,,,C&F,,,,,,,,,,,,,
Importer  进口商信息（需要英文版信息）,,,,,,,,,,,,,,,,,,,,,,,,,
公司名：,"Everglow Trading Co., Ltd",,,,,,,,RECIPIENT  收件人信息（需要日文版本）,,,,,,,,,,,,,,,,
法人番号：,セツキ 様,,,,,,,,公司名：,セツキ 様,,,,,,,,,,,,,,,
人名：,セツキ 様,,,,,,,,人名：,セツキ 様,,,,,,,,,,,,,,,
联系电话：,+81 04-2945-9175,,,,,,,,联系电话：,+81 7014435972,,,,,,,,,,,,,,,
地址：,東京新宿区東京都清瀬市中里1丁目1739番地8,,,,,,,,地址：,東京都清瀬2-37-1 Wada Higashitokorozawa Tokorozawa Saitama,,,,,,,,,,,,,,,
邮政编码：,204-0003,,,,,,,,邮政编码：,359-0023,,,,,,,,,,,,,,,
城市：,新宿区,,,,,,,,城市：,清瀬,,,,,,,,,,,,,,,
国家：,Japan,,,,,,,,,,,,,,,,,,,,,,,,
邮箱：,TES@QQ.COM,,,,,,,,,,,,,,,,,,,,,,,,
ITEM NO,箱号,查货标识,DESCRIPTION,中文品名,HS,箱数,AMOUNT QTY (PCS),UNIT VALUE（CNY),TOTAL VALUE (CNY),APPLICATION（用途）,COMPOSITION (材質）,BRAND（品牌）,MODEL （型号）,Picture,T.N.W,T.G.W,长,宽,高,CBM(m3),ASIN,FNSKU,SKU,番号,如有链接可补充此列
,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,国境を越えた対外貿易夏の新型男性パンツファッション休暇ビーチパンツ男性大サイズ四角ミルク糸内里,跨境外贸夏季新款男士短裤时尚度假沙滩裤男大码四角牛奶丝内里,,1,1,27,27,,,,,,,,,,,,,,,D000002894,https://detail.1688.com/offer/714458093758.html
2,1;2,,アウターウェアスリッポンソフトソールメンズランニングシューズスポーツシューズ新しいメッシュ通気性衝撃吸収軽量厚底カジュアルメンズシューズ,外穿一脚蹬软底男跑步鞋运动鞋新款网面透气减震轻便厚底休闲男鞋,,2,10,72,720,,,,,,,,,,,,,,ar-rg-011siv-16,D000002994,https://detail.1688.com/offer/941905898454.html
TOTAL,,,,,,2,11,,747,,,,,,,,,,,,,,,,
THIS SHIPMENT CONTAINES NO SOLID WOOD PACKING AND NO SILICAGEL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
箱号,件数,长,宽,高,单件重量,体积,重量,,,,,,,,,,,,,,,,,,
1,4,3,4,5,12,0.01,12,,,,,,,,,,,,,,,,,,
2,7,5,5,5,7,0.02,7,,,,,,,,,,,,,,,,,,
总计,11,,,,,0.03,19,,,,,,,,,,,,,,,,,,
