COMMERCIAL INVOICE & PACKING LIST,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SHIPPER  寄件人（需要英文版信息）,,,客户名*,TEST-朴国哲,服务渠道*,,LDX--快速船便 Japan,,INVOICE NO:,,,WL-JPN12-260513-005,,,,,,,,,,,,,
公司名：,YIWU XIERUN IMPORT&EXPORT CO.LTD,,客户订单号*,WL-JPN12-260513-005,,,,,DATE OF EXPORTATION,,,2026-05-13,,,,,,,,,,,,,
人名：,Zhao ZheLong,,,,,,,,COUNTRY OF EXPORT,,,MADE IN CHINA,,,,,,,,,,,,,
联系电话：,186-6173-9360,,,,,,,,COUNTRY OF DESTINATION,,,Japan,,,,,,,,,,,,,
地址：,"502, Floor 5, Building 1, No. 633, Airport Road, Beiyuan Street, Yiwu City, Zhejiang Province",,,,,,,,TRADE TERM:,,,C&F,,,,,,,,,,,,,
Importer  进口商信息（需要英文版信息）,,,,,,,,,,,,,,,,,,,,,,,,,
公司名：,"Everglow Trading Co., Ltd",,,,,,,,RECIPIENT  收件人信息（需要日文版本）,,,,,,,,,,,,,,,,
法人番号：,ss的,,,,,,,,公司名：,,,,,,,,,,,,,,,,
人名：,セツキ 様,,,,,,,,人名：,セツキ 様,,,,,,,,,,,,,,,
联系电话：,+81 04-2945-9175,,,,,,,,联系电话：,+81 7014435972,,,,,,,,,,,,,,,
地址：,東京新宿区東京都清瀬市中里1丁目1739番地8,,,,,,,,地址：,東京都清瀬2-37-1 Wada Higashitokorozawa Tokorozawa Saitama,,,,,,,,,,,,,,,
邮政编码：,204-0003,,,,,,,,邮政编码：,359-0023,,,,,,,,,,,,,,,
城市：,新宿区,,,,,,,,城市：,清瀬,,,,,,,,,,,,,,,
国家：,Japan,,,,,,,,,,,,,,,,,,,,,,,,
邮箱：,TES@QQ.COM,,,,,,,,,,,,,,,,,,,,,,,,
ITEM NO,箱号,查货标识,DESCRIPTION,中文品名,HS,箱数,AMOUNT QTY (PCS),UNIT VALUE（CNY),TOTAL VALUE (CNY),APPLICATION（用途）,COMPOSITION (材質）,BRAND（品牌）,MODEL （型号）,Picture,T.N.W,T.G.W,长,宽,高,CBM(m3),ASIN,FNSKU,SKU,番号,如有链接可补充此列
,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,春夏の薄いタイプの靴下の女性の透かし彫りの目の四つ葉のクローバーの骨なしの積み重ねの靴下の女性の純色の百合の中で長い筒の女性の靴下,春夏薄款袜子女镂空网眼四叶草无骨堆堆袜女士纯色百搭中长筒女袜,,1,4,3.3,13.2,,PU,,,,,,,,,,ASIN-2223011,FNSKU-19902039,SKU-12888389,D000004986,https://detail.1688.com/offer/918486061288.html
2,2,,靴下純綿レディースソックス春夏薄手日本製中空メッシュソックス多用途バレエスタイルZhuji Socks,袜子纯棉女短袜春夏季薄款日系镂空网眼中筒袜百搭芭蕾风诸暨袜业,,1,5,2.3,11.5,,Plastic,,,,,,,,,,ASIN-2223010,FNSKU-19992038,SKU-12888389,D000004987,https://detail.1688.com/offer/936392087865.html
TOTAL,,,,,,2,9,,24.7,,,,,,,,,,,,,,,,
THIS SHIPMENT CONTAINES NO SOLID WOOD PACKING AND NO SILICAGEL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
箱号,件数,长,宽,高,单件重量,体积,重量,,,,,,,,,,,,,,,,,,
1,4,12,12,12,12,0.29,12,,,,,,,,,,,,,,,,,,
2,5,12,12,12,12,0.29,12,,,,,,,,,,,,,,,,,,
总计,9,,,,,0.58,24,,,,,,,,,,,,,,,,,,
