姓名,类型,一般会员,商务会员,VIP会员,订单总数,,类型,S级,A级,B级,C级,D级,合计
客户经理：金月明,订单总数,1,0,0,1,,订单总数,0,0,1,0,0,1
,客户数,1,0,0,1,,客户数,0,0,1,0,0,1
,商品金额,24.7,0,0,24.7,,商品金额,0,0,24.7,0,0,24.7
,国内运费总额,5,0,0,5,,国内运费总额,0,0,5,0,0,5
,实际支出,31,0,0,31,,实际支出,0,0,31,0,0,31
,店铺退款总额,11,0,0,11,,店铺退款总额,0,0,11,0,0,11
,退换货运费总额,0,0,0,0,,退换货运费总额,0,0,0,0,0,0
,采购成本,31,0,0,31,,采购成本,0,0,31,0,0,31
,总差价,9.7,0,0,9.7,,总差价,0,0,9.7,0,0,9.7
,业绩差价,9.7,0,0,9.7,,业绩差价,0,0,9.7,0,0,9.7
,优惠总额,0,0,0,0,,优惠总额,0,0,0,0,0,0
,手续费,50,0,0,50,,手续费,0,0,50,0,0,50
,附加项费用,4.5,0,0,4.5,,附加项费用,0,0,4.5,0,0,4.5
,抽样详细总额,0,0,0,0,,抽样详细总额,0,0,0,0,0,0
,全数宽松总额,0,0,0,0,,全数宽松总额,0,0,0,0,0,0
,全数详细总额,22.5,0,0,22.5,,全数详细总额,0,0,22.5,0,0,22.5
,计时检品总额,0,0,0,0,,计时检品总额,0,0,0,0,0,0
,店铺其他费用,0,0,0,0,,店铺其他费用,0,0,0,0,0,0
,订单其他费用,0,0,0,0,,订单其他费用,0,0,0,0,0,0
,没货退款总额,0,0,0,0,,没货退款总额,0,0,0,0,0,0
,会员费,0,0,0,0,,会员费,0,0,0,0,0,0
,汇率收益,0.49,0,0,0.49,,汇率收益,0,0,0.49,0,0,0.49
,营销额总额,0,0,0,0,,营销额总额,0,0,0,0,0,0
,赔偿金,0,0,0,0,,赔偿金,0,0,0,0,0,0
,订单收入利益,87.19,0,0,87.19,,订单收入利益,0,0,87.19,0,0,87.19
,,,,,,,,,,,,,
姓名,类型,一般会员,商务会员,VIP会员,订单总数,,类型,S级,A级,B级,C级,D级,合计
业务员：吴四佳,订单总数,1,0,0,1,,订单总数,0,0,1,0,0,1
,客户数,1,0,0,1,,客户数,0,0,1,0,0,1
,商品金额,24.7,0,0,24.7,,商品金额,0,0,24.7,0,0,24.7
,国内运费总额,5,0,0,5,,国内运费总额,0,0,5,0,0,5
,实际支出,31,0,0,31,,实际支出,0,0,31,0,0,31
,店铺退款总额,11,0,0,11,,店铺退款总额,0,0,11,0,0,11
,退换货运费总额,0,0,0,0,,退换货运费总额,0,0,0,0,0,0
,采购成本,31,0,0,31,,采购成本,0,0,31,0,0,31
,总差价,9.7,0,0,9.7,,总差价,0,0,9.7,0,0,9.7
,业绩差价,9.7,0,0,9.7,,业绩差价,0,0,9.7,0,0,9.7
,优惠总额,0,0,0,0,,优惠总额,0,0,0,0,0,0
,手续费,50,0,0,50,,手续费,0,0,50,0,0,50
,附加项费用,4.5,0,0,4.5,,附加项费用,0,0,4.5,0,0,4.5
