,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国家,姓名,会员类型,订单总数,客户数,实际结算金额,正品金额,客户价,商品总价,实际支出,总差价,总差价率,业绩差价,优惠总额,国内运费总额,到付运费总额,没货退款总额,店铺退款总额,退换货运费总额,订单其他总费用,店铺其他总费用,抽样详细总额,全数宽松总额,全数详细总额,计时检品总额,附加项费用合计,手续费,淘宝店铺数,1688店铺数,其他店铺数,SKU总数,退换sku总数,退换总件数,,,,,,,,
Japan,吴四佳,一般会员,1,1,114.7,24.7,37.7,37.7,31,9.7,39.27%,9.7,0,5,8,0,11,0,0,0,0,0,23,0,4.5,50,0,2,0,2,0,0,,,,,,,,
,,商务会员,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,VIP会员,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国家,客户经理,业务员,采购员,客户信息,会员类型,客户等级,订单编号,实际结算金额,正品金额,客户价,商品总价,实际支出,总差价,总差价率,业绩差价,优惠总额,国内运费,到付运费,没货退款,店铺退款总额,退换货运费,订单其他费用,店铺其他费用,抽样详细费用,全数宽松费用,全数详细费用,计时检品费用,附加项费用,手续费,淘宝店铺数,1688店铺数,其他店铺数,SKU总数,退换SKU数,退换件数,下单日期,待清算日期,清算时间,订单周期,清算周期
Japan,金月明,吴四佳,陈牧鹏,TEST-朴国哲,一般会员,B,B2B-DD-JPN12-260513-004,114.7,24.7,37.7,37.7,31,9.7,39.27%,9.7,0,5,8,0,11,0,0,0,0,0,22.5,0,4.5,50,0,2,0,2,0,0,2026-05-13 18:06:50,2026-05-14 09:26:47,2026-05-14 09:27:05,1,1
